site,set_name,plot,date,measurement
CovePoint,CP_North,Bay,8/29/2014,0
CovePoint,CP_North,Bay,8/29/2014,0
CovePoint,CP_North,Marsh,8/29/2014,0
CovePoint,CP_North,Marsh,8/29/2014,0
CovePoint,CP_South,Bay,8/29/2014,0
CovePoint,CP_South,Bay,8/29/2014,0
CovePoint,CP_South,Marsh,8/29/2014,0
CovePoint,CP_South,Marsh,8/29/2014,0
CovePoint,CP_North,Bay,4/6/2015,3
CovePoint,CP_North,Bay,4/6/2015,1
CovePoint,CP_North,Bay,4/6/2015,1
CovePoint,CP_North,Bay,4/6/2015,4
CovePoint,CP_North,Marsh,4/6/2015,1
CovePoint,CP_North,Marsh,4/6/2015,1
CovePoint,CP_North,Marsh,4/6/2015,1
CovePoint,CP_North,Marsh,4/6/2015,1
CovePoint,CP_South,Bay,4/6/2015,2
CovePoint,CP_South,Bay,4/6/2015,1
CovePoint,CP_South,Bay,4/6/2015,3
CovePoint,CP_South,Bay,4/6/2015,3
CovePoint,CP_South,Marsh,4/6/2015,1
CovePoint,CP_South,Marsh,4/6/2015,2
CovePoint,CP_South,Marsh,4/6/2015,1
CovePoint,CP_South,Marsh,4/6/2015,6
CovePoint,CP_North,Bay,10/20/2015,2
CovePoint,CP_North,Bay,10/20/2015,1
CovePoint,CP_North,Bay,10/20/2015,NA
CovePoint,CP_North,Bay,10/20/2015,2
CovePoint,CP_North,Marsh,10/20/2015,4
CovePoint,CP_North,Marsh,10/20/2015,5
CovePoint,CP_North,Marsh,10/20/2015,2
CovePoint,CP_North,Marsh,10/20/2015,2
CovePoint,CP_South,Bay,10/20/2015,3
CovePoint,CP_South,Bay,10/20/2015,4
CovePoint,CP_South,Bay,10/20/2015,NA
CovePoint,CP_South,Bay,10/20/2015,1
CovePoint,CP_South,Marsh,10/20/2015,4
CovePoint,CP_South,Marsh,10/20/2015,3
CovePoint,CP_South,Marsh,10/20/2015,1
CovePoint,CP_South,Marsh,10/20/2015,NA
CovePoint,CP_North,Bay,4/12/2016,2
CovePoint,CP_North,Bay,4/12/2016,2
CovePoint,CP_North,Bay,4/12/2016,3
CovePoint,CP_North,Bay,4/12/2016,3
CovePoint,CP_South,Bay,4/12/2016,4
CovePoint,CP_South,Bay,4/12/2016,5
CovePoint,CP_South,Bay,4/12/2016,3
CovePoint,CP_South,Bay,4/12/2016,4
CovePoint,CP_North,Marsh,4/12/2016,3
CovePoint,CP_North,Marsh,4/12/2016,5
CovePoint,CP_North,Marsh,4/12/2016,0.5
CovePoint,CP_North,Marsh,4/12/2016,1
CovePoint,CP_South,Marsh,4/12/2016,5
CovePoint,CP_South,Marsh,4/12/2016,7
CovePoint,CP_South,Marsh,4/12/2016,2
CovePoint,CP_South,Marsh,4/12/2016,3
CovePoint,CP_North,Bay,12/2/2016,6
CovePoint,CP_North,Bay,12/2/2016,3
CovePoint,CP_North,Bay,12/2/2016,7
CovePoint,CP_North,Bay,12/2/2016,4
CovePoint,CP_North,Marsh,12/2/2016,8
CovePoint,CP_North,Marsh,12/2/2016,3
CovePoint,CP_North,Marsh,12/2/2016,4
CovePoint,CP_North,Marsh,12/2/2016,10
CovePoint,CP_South,Bay,12/2/2016,6
CovePoint,CP_South,Bay,12/2/2016,3
CovePoint,CP_South,Bay,12/2/2016,13
CovePoint,CP_South,Bay,12/2/2016,8
CovePoint,CP_South,Marsh,12/2/2016,12
CovePoint,CP_South,Marsh,12/2/2016,8
CovePoint,CP_South,Marsh,12/2/2016,6
CovePoint,CP_South,Marsh,12/2/2016,4
CovePoint,CP_North,Bay,4/5/2017,15
CovePoint,CP_North,Bay,4/5/2017,20
CovePoint,CP_North,Bay,4/5/2017,20
CovePoint,CP_North,Bay,4/5/2017,15
CovePoint,CP_North,Marsh,4/5/2017,18
CovePoint,CP_North,Marsh,4/5/2017,15
CovePoint,CP_North,Marsh,4/5/2017,12
CovePoint,CP_North,Marsh,4/5/2017,15
CovePoint,CP_South,Bay,4/5/2017,NA
CovePoint,CP_South,Bay,4/5/2017,NA
CovePoint,CP_South,Bay,4/5/2017,NA
CovePoint,CP_South,Bay,4/5/2017,NA
CovePoint,CP_South,Marsh,4/5/2017,10
CovePoint,CP_South,Marsh,4/5/2017,9
CovePoint,CP_South,Marsh,4/5/2017,9
CovePoint,CP_South,Marsh,4/5/2017,8
ParkersCreek,PC_Set1,SE,3/24/2015,0
ParkersCreek,PC_Set1,SE,3/24/2015,0
ParkersCreek,PC_Set1,SW,3/24/2015,0
ParkersCreek,PC_Set1,SW,3/24/2015,0
ParkersCreek,PC_Set2,E,3/24/2015,0
ParkersCreek,PC_Set2,E,3/24/2015,0
ParkersCreek,PC_Set2,S,3/24/2015,0
ParkersCreek,PC_Set2,S,3/24/2015,0
ParkersCreek,PC_Set1,SE,12/9/2016,23
ParkersCreek,PC_Set1,SE,12/9/2016,8
ParkersCreek,PC_Set1,SE,12/9/2016,15
ParkersCreek,PC_Set1,SE,12/9/2016,8
ParkersCreek,PC_Set2,E,12/9/2016,15
ParkersCreek,PC_Set2,E,12/9/2016,17
ParkersCreek,PC_Set2,E,12/9/2016,9
ParkersCreek,PC_Set2,E,12/9/2016,11
ParkersCreek,PC_Set2,S,12/9/2016,16
ParkersCreek,PC_Set2,S,12/9/2016,13
ParkersCreek,PC_Set2,S,12/9/2016,18
ParkersCreek,PC_Set2,S,12/9/2016,20
ParkersCreek,PC_Set1,SE,4/11/2017,6
ParkersCreek,PC_Set1,SE,4/11/2017,4
ParkersCreek,PC_Set1,SE,4/11/2017,7
ParkersCreek,PC_Set1,SE,4/11/2017,7
ParkersCreek,PC_Set1,SW,4/11/2017,15
ParkersCreek,PC_Set1,SW,4/11/2017,17
ParkersCreek,PC_Set1,SW,4/11/2017,16
ParkersCreek,PC_Set1,SW,4/11/2017,22
ParkersCreek,PC_Set2,E,4/11/2017,22
ParkersCreek,PC_Set2,E,4/11/2017,25
ParkersCreek,PC_Set2,E,4/11/2017,19
ParkersCreek,PC_Set2,E,4/11/2017,19
ParkersCreek,PC_Set2,S,4/11/2017,20
ParkersCreek,PC_Set2,S,4/11/2017,21
ParkersCreek,PC_Set2,S,4/11/2017,16
ParkersCreek,PC_Set2,S,4/11/2017,17
CovePoint,CP_North,A,10/15/2017,0
CovePoint,CP_North,B,10/15/2017,0
CovePoint,CP_South,D,10/15/2017,0
CovePoint,CP_South,E,10/15/2017,0
ParkersCreek,PC_Set3,S,9/21/2017,0
ParkersCreek,PC_Set3,W,9/21/2017,0
ParkersCreek,PC_Set4,SE,9/21/2017,0
ParkersCreek,PC_Set4,SW,9/21/2017,0
ParkersCreek,PC_Set4,D,9/21/2017,0
ParkersCreek,PC_Set3,C,9/21/2017,0
ParkersCreek,PC_Set2,B,9/21/2017,0
ParkersCreek,PC_Set2,A,9/21/2017,0
