site,set_name,plot,date,measurement,
Broadkill,BK_Set1,A,6/30/2014,2,
Broadkill,BK_Set1,A,6/30/2014,3.04,
Broadkill,BK_Set1,A,6/30/2014,1.72,
Broadkill,BK_Set1,B,6/30/2014,1.64,
Broadkill,BK_Set1,B,6/30/2014,3.88,
Broadkill,BK_Set1,B,6/30/2014,1.32,
Broadkill,BK_Set1,C,6/30/2014,0.97,
Broadkill,BK_Set1,C,6/30/2014,1.48,
Broadkill,BK_Set1,C,6/30/2014,2.76,
Broadkill,BK_Set2,A,6/30/2014,1.24,
Broadkill,BK_Set2,A,6/30/2014,1.89,
Broadkill,BK_Set2,A,6/30/2014,1.63,
Broadkill,BK_Set2,B,6/30/2014,1.45,
Broadkill,BK_Set2,B,6/30/2014,2.73,
Broadkill,BK_Set2,B,6/30/2014,2.21,
Broadkill,BK_Set2,C,6/30/2014,1.6,
Broadkill,BK_Set2,C,6/30/2014,3.29,
Broadkill,BK_Set2,C,6/30/2014,1.7,
Broadkill,BK_Set3,A,6/30/2014,2.48,
Broadkill,BK_Set3,A,6/30/2014,2.71,
Broadkill,BK_Set3,A,6/30/2014,0,
Broadkill,BK_Set3,B,6/30/2014,0.3,
Broadkill,BK_Set3,B,6/30/2014,0.26,
Broadkill,BK_Set3,B,6/30/2014,0.16,
Broadkill,BK_Set3,C,6/30/2014,0.6,
Broadkill,BK_Set3,C,6/30/2014,0.42,
Broadkill,BK_Set3,C,6/30/2014,0.76,
Broadkill,BK_Set1,A,11/19/2014,3.18,
Broadkill,BK_Set1,A,11/19/2014,2.92,
Broadkill,BK_Set1,A,11/19/2014,2.47,
Broadkill,BK_Set1,B,11/19/2014,3.36,
Broadkill,BK_Set1,B,11/19/2014,5.44,
Broadkill,BK_Set1,B,11/19/2014,3.73,
Broadkill,BK_Set1,C,11/19/2014,2.39,
Broadkill,BK_Set1,C,11/19/2014,3.15,
Broadkill,BK_Set1,C,11/19/2014,4.36,
Broadkill,BK_Set2,A,11/19/2014,5.91,
Broadkill,BK_Set2,A,11/19/2014,4.8,
Broadkill,BK_Set2,A,11/19/2014,5.56,
Broadkill,BK_Set2,B,11/19/2014,3.87,
Broadkill,BK_Set2,B,11/19/2014,4.24,
Broadkill,BK_Set2,B,11/19/2014,4.04,
Broadkill,BK_Set2,C,11/19/2014,4.64,
Broadkill,BK_Set2,C,11/19/2014,3.94,
Broadkill,BK_Set2,C,11/19/2014,4.15,
Broadkill,BK_Set3,A,11/19/2014,3.58,
Broadkill,BK_Set3,A,11/19/2014,3.11,
Broadkill,BK_Set3,A,11/19/2014,3.77,
Broadkill,BK_Set3,B,11/19/2014,1.66,
Broadkill,BK_Set3,B,11/19/2014,1.8,
Broadkill,BK_Set3,B,11/19/2014,2.37,
Broadkill,BK_Set3,C,11/19/2014,2.43,
Broadkill,BK_Set3,C,11/19/2014,1.72,
Broadkill,BK_Set3,C,11/19/2014,2.22,
Broadkill,BK_Set1,A,3/19/2015,3.92,
Broadkill,BK_Set1,A,3/19/2015,5.44,
Broadkill,BK_Set1,A,3/19/2015,5.93,
Broadkill,BK_Set1,B,3/19/2015,4.02,
Broadkill,BK_Set1,B,3/19/2015,5.01,
Broadkill,BK_Set1,B,3/19/2015,6.95,
Broadkill,BK_Set1,C,3/19/2015,2.53,
Broadkill,BK_Set1,C,3/19/2015,2.42,
Broadkill,BK_Set1,C,3/19/2015,4.65,
