site,set_name,reading_date,position,pin_number,measurement,read_by,timestep
Broadkill,BK_Set1,5/28/2014,1,1,160,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,1,2,161,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,1,3,160,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,1,4,160,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,1,5,161,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,1,6,166,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,1,7,170,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,1,8,168,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,1,9,165,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,3,1,160,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,3,2,174,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,3,3,163,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,3,4,155,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,3,5,158,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,3,6,153,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,3,7,157,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,3,8,156,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,3,9,157,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,5,1,157,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,5,2,158,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,5,3,156,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,5,4,155,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,5,5,155,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,5,6,155,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,5,7,155,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,5,8,151,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,5,9,153,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,7,1,168,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,7,2,170,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,7,3,164,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,7,4,163,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,7,5,165,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,7,6,166,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,7,7,171,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,7,8,164,L_Haaf,t0
Broadkill,BK_Set1,5/28/2014,7,9,166,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,1,1,170,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,1,2,172,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,1,3,173,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,1,4,172,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,1,5,175,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,1,6,175,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,1,7,172,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,1,8,173,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,1,9,173,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,3,1,188,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,3,2,175,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,3,3,174,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,3,4,172,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,3,5,175,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,3,6,170,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,3,7,174,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,3,8,172,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,3,9,173,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,5,1,159,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,5,2,159,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,5,3,159,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,5,4,160,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,5,5,166,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,5,6,155,L_Haaf,t0
Broadkill,BK_Set2,5/28/2014,5,7,155,L_Haaf,t0
